"2014","13,188","16,051","19,987","24,934","28,394","31,489","34,585","15,093","18,370","22,873","28,537","32,495","36,038","39,581","16,836","20,493","25,517","31,835","36,251","40,204","44,155","17,050","20,750","25,839","32,236","36,707","40,709","44,711","20,160","24,536","30,553","38,117","43,404","48,136","52,869"
"2015","13,335","16,230","20,211","25,213","28,711","31,841","34,972","15,261","18,576","23,129","28,856","32,859","36,441","40,024","17,025","20,722","25,802","32,191","36,657","40,654","44,649","17,240","20,982","26,128","32,596","37,118","41,165","45,211","20,386","24,811","30,895","38,544","43,890","48,675","53,460"
"2016","13,525","16,461","20,498","25,571","29,119","32,294","35,469","15,478","18,840","23,457","29,266","33,326","36,959","40,593","17,267","21,016","26,169","32,649","37,178","41,232","45,284","17,485","21,281","26,499","33,060","37,646","41,750","45,854","20,675","25,163","31,334","39,092","44,514","49,367","54,220"
"2017","13,735","16,718","20,817","25,970","29,573","32,797","36,021","15,719","19,133","23,823","29,722","33,845","37,535","41,225","17,536","21,344","26,577","33,157","37,757","41,874","45,989","17,758","21,612","26,912","33,575","38,232","42,400","46,568","20,998","25,555","31,822","39,701","45,207","50,136","55,065"
"2018","14,051","17,102","21,296","26,567","30,253","33,552","36,850","16,081","19,573","24,371","30,406","34,624","38,399","42,173","17,939","21,835","27,188","33,920","38,626","42,837","47,047","18,166","22,109","27,531","34,347","39,112","43,376","47,640","21,481","26,143","32,554","40,614","46,247","51,289","56,331"
"2019","14,325","17,436","21,711","27,085","30,843","34,206","37,568","16,394","19,955","24,846","30,998","35,298","39,147","42,995","18,289","22,260","27,718","34,581","39,378","43,672","47,964","18,520","22,540","28,068","35,017","39,874","44,221","48,568","21,899","26,653","33,189","41,406","47,148","52,289","57,429"

Symbol legend:

Footnotes:
1,"Source: Centre for Income and Socioeconomic Well-being Statistics, Statistics Canada
"
2,"The low income cut-offs after tax (LICO-AT) are income thresholds below which a family will likely devote a larger share of its after-tax income on the necessities of food, shelter and clothing than the average family. The approach is essentially to estimate an income threshold at which families are expected to spend 20 percentage points more than the average family on food, shelter and clothing, based on the 1992 Family Expenditures Survey. LICOs are calculated in this manner for seven family sizes and five community sizes."
3,"The low income cut-offs before tax (LICO-BT) are income thresholds below which a family will likely devote a larger share of its before-tax income on the necessities of food, shelter and clothing than the average family. The approach is essentially to estimate an income threshold at which families are expected to spend 20 percentage points more than the average family on food, shelter and clothing, based on the 1992 Family Expenditures Survey. LICOs are calculated in this manner for seven family sizes and five community sizes."
4,"Rural areas: includes communities with a population of less than 1,000 or with a population density less than 400 persons per square kilometer that are located outside Census metropolitan areas (CMAs) or Census agglomerations (CAs). Population under 30,000 : CAs below 30,000 and population centres below 10,000 persons. Population 30,000 to 99,999 : CAs between 30,000 and 99,999 persons. Population 100,000 to 499,999: CMAs between 100,000 and 499,999. Population 500,000 and over: CMAs with 500,000 or more persons."

"How to cite: Statistics Canada. Table 11-10-0241-01 Low income cut-offs (LICOs) before and after tax by community size and family size, in current dollars"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110024101
DOI:  https://doi.org/10.25318/1110024101-eng
